flightnumber,status,departure_airport_icao,departure_airport_iata,departure_airport_name,arrival_scheduledTimeLocal,arrival_actualTimeLocal,arrival_scheduledTimeUtc,arrival_actualTimeUtc,arrival_terminal,aircraft_model,airline_name,arrival_airport_icao
4Y 133,Expected,FYWH,WDH,Windhoek,2022-06-15 05:25:00+02:00,2022-06-15 05:25:00+02:00,2022-06-15 03:25:00+00:00,2022-06-15 03:25:00+00:00,1,Airbus A330-300,Airbus Transport International,EDDF
AC 9018,Expected,DNPO,PHC,Port Harcourt,2022-06-15 05:30:00+02:00,2022-06-15 05:30:00+02:00,2022-06-15 03:30:00+00:00,2022-06-15 03:30:00+00:00,1,Airbus A330-300,Air Canada,EDDF
AC 9019,Expected,FAOR,JNB,Jo'anna,2022-06-15 05:35:00+02:00,2022-06-15 05:35:00+02:00,2022-06-15 03:35:00+00:00,2022-06-15 03:35:00+00:00,1,Boeing 747-8,Air Canada,EDDF
AC 9277,Expected,DTTA,TUN,Tunis,2022-06-15 05:40:00+02:00,2022-06-15 05:40:00+02:00,2022-06-15 03:40:00+00:00,2022-06-15 03:40:00+00:00,1,Airbus A319,Air Canada,EDDF
AC 9430,Expected,GMMN,CMN,Casablanca,2022-06-15 05:55:00+02:00,2022-06-15 05:55:00+02:00,2022-06-15 03:55:00+00:00,2022-06-15 03:55:00+00:00,1,Airbus A320 NEO,Air Canada,EDDF
AC 9611,Expected,HKJK,NBO,Nairobi,2022-06-15 05:40:00+02:00,2022-06-15 05:40:00+02:00,2022-06-15 03:40:00+00:00,2022-06-15 03:40:00+00:00,1,Airbus A330,Air Canada,EDDF
IR 1601,Expected,OIIE,IKA,Tehran,2022-06-15 05:45:00+02:00,2022-06-15 05:45:00+02:00,2022-06-15 03:45:00+00:00,2022-06-15 03:45:00+00:00,1,Airbus A330,Iran Air,EDDF
LH 4921,Expected,RJTT,HND,Tokyo,2022-06-15 05:20:00+02:00,2022-06-15 05:20:00+02:00,2022-06-15 03:20:00+00:00,2022-06-15 03:20:00+00:00,1,Boeing 787-9,Lufthansa,EDDF
LH 9695,Expected,HAAB,ADD,Addis Ababa,2022-06-15 05:55:00+02:00,2022-06-15 05:55:00+02:00,2022-06-15 03:55:00+00:00,2022-06-15 03:55:00+00:00,1,Airbus A350-900,Lufthansa,EDDF
LX 4021,Expected,OIIE,IKA,Tehran,2022-06-15 05:45:00+02:00,2022-06-15 05:45:00+02:00,2022-06-15 03:45:00+00:00,2022-06-15 03:45:00+00:00,1,Airbus A330,SWISS,EDDF
LX 4027,Expected,HKJK,NBO,Nairobi,2022-06-15 05:40:00+02:00,2022-06-15 05:40:00+02:00,2022-06-15 03:40:00+00:00,2022-06-15 03:40:00+00:00,1,Airbus A330,SWISS,EDDF
NH 203,Expected,RJTT,HND,Tokyo,2022-06-15 05:20:00+02:00,2022-06-15 05:20:00+02:00,2022-06-15 03:20:00+00:00,2022-06-15 03:20:00+00:00,1,Boeing 787-9,ANA,EDDF
NH 5350,Expected,HAAB,ADD,Addis Ababa,2022-06-15 05:55:00+02:00,2022-06-15 05:55:00+02:00,2022-06-15 03:55:00+00:00,2022-06-15 03:55:00+00:00,1,Airbus A350-900,ANA,EDDF
NH 5423,Expected,FAOR,JNB,Jo'anna,2022-06-15 05:35:00+02:00,2022-06-15 05:35:00+02:00,2022-06-15 03:35:00+00:00,2022-06-15 03:35:00+00:00,1,Boeing 747-8,ANA,EDDF
OS 7316,Expected,FAOR,JNB,Jo'anna,2022-06-15 05:35:00+02:00,2022-06-15 05:35:00+02:00,2022-06-15 03:35:00+00:00,2022-06-15 03:35:00+00:00,1,Boeing 747-8,Austrian,EDDF
SN 7207,Expected,FAOR,JNB,Jo'anna,2022-06-15 05:35:00+02:00,2022-06-15 05:35:00+02:00,2022-06-15 03:35:00+00:00,2022-06-15 03:35:00+00:00,1,Boeing 747-8,Brussels,EDDF
SN 7209,Expected,HKJK,NBO,Nairobi,2022-06-15 05:40:00+02:00,2022-06-15 05:40:00+02:00,2022-06-15 03:40:00+00:00,2022-06-15 03:40:00+00:00,1,Airbus A330,Brussels,EDDF
SN 7231,Expected,KJFK,JFK,New York,2022-06-15 05:45:00+02:00,2022-06-15 05:45:00+02:00,2022-06-15 03:45:00+00:00,2022-06-15 03:45:00+00:00,1,Boeing 747-100,Brussels,EDDF
TP 8988,Expected,HAAB,ADD,Addis Ababa,2022-06-15 05:55:00+02:00,2022-06-15 05:55:00+02:00,2022-06-15 03:55:00+00:00,2022-06-15 03:55:00+00:00,1,Airbus A350-900,TAP Air Portugal,EDDF
UA 7212,Expected,HAAB,ADD,Addis Ababa,2022-06-15 05:55:00+02:00,2022-06-15 05:55:00+02:00,2022-06-15 03:55:00+00:00,2022-06-15 03:55:00+00:00,1,Airbus A350-900,United,EDDF
UA 8730,Expected,HKJK,NBO,Nairobi,2022-06-15 05:40:00+02:00,2022-06-15 05:40:00+02:00,2022-06-15 03:40:00+00:00,2022-06-15 03:40:00+00:00,1,Airbus A330,United,EDDF
UA 8833,Expected,KIAD,IAD,District of Columbia,2022-06-15 05:45:00+02:00,2022-06-15 05:45:00+02:00,2022-06-15 03:45:00+00:00,2022-06-15 03:45:00+00:00,1,Airbus A330,United,EDDF
UA 8840,Expected,KJFK,JFK,New York,2022-06-15 05:45:00+02:00,2022-06-15 05:45:00+02:00,2022-06-15 03:45:00+00:00,2022-06-15 03:45:00+00:00,1,Boeing 747-100,United,EDDF
UA 9021,Expected,DNPO,PHC,Port Harcourt,2022-06-15 05:30:00+02:00,2022-06-15 05:30:00+02:00,2022-06-15 03:30:00+00:00,2022-06-15 03:30:00+00:00,1,Airbus A330-300,United,EDDF
UA 9139,Expected,FAOR,JNB,Jo'anna,2022-06-15 05:35:00+02:00,2022-06-15 05:35:00+02:00,2022-06-15 03:35:00+00:00,2022-06-15 03:35:00+00:00,1,Boeing 747-8,United,EDDF
AC 6128,Expected,VTBS,BKK,Bangkok,2022-06-15 06:15:00+02:00,2022-06-15 06:15:00+02:00,2022-06-15 04:15:00+00:00,2022-06-15 04:15:00+00:00,1,Boeing 777-300ER,Air Canada,EDDF
AC 9059,Expected,DNMM,LOS,Lagos,2022-06-15 06:25:00+02:00,2022-06-15 06:25:00+02:00,2022-06-15 04:25:00+00:00,2022-06-15 04:25:00+00:00,1,Airbus A330-300,Air Canada,EDDF
AC 9081,Expected,OMDB,DXB,Dubai City,2022-06-15 06:05:00+02:00,2022-06-15 06:05:00+02:00,2022-06-15 04:05:00+00:00,2022-06-15 04:05:00+00:00,1,Airbus A330,Air Canada,EDDF
AC 9197,Expected,EDDS,STR,Stuttgart,2022-06-15 06:55:00+02:00,2022-06-15 06:55:00+02:00,2022-06-15 04:55:00+00:00,2022-06-15 04:55:00+00:00,1,Airbus A319,Air Canada,EDDF
AC 9238,Expected,EDDL,DUS,Duesseldorf,2022-06-15 06:50:00+02:00,2022-06-15 06:50:00+02:00,2022-06-15 04:50:00+00:00,2022-06-15 04:50:00+00:00,1,Airbus A319,Air Canada,EDDF
AC 9271,Expected,OEDF,DMM,Ad Dammam,2022-06-15 06:50:00+02:00,2022-06-15 06:50:00+02:00,2022-06-15 04:50:00+00:00,2022-06-15 04:50:00+00:00,1,Airbus A330-300,Air Canada,EDDF
AC 9351,Expected,EDDN,NUE,Nuremberg,2022-06-15 06:55:00+02:00,2022-06-15 06:55:00+02:00,2022-06-15 04:55:00+00:00,2022-06-15 04:55:00+00:00,1,Embraer 190,Air Canada,EDDF
AC 9452,Expected,KBOS,BOS,Boston,2022-06-15 06:20:00+02:00,2022-06-15 06:20:00+02:00,2022-06-15 04:20:00+00:00,2022-06-15 04:20:00+00:00,1,Boeing 747,Air Canada,EDDF
LX 4005,Expected,OEDF,DMM,Ad Dammam,2022-06-15 06:50:00+02:00,2022-06-15 06:50:00+02:00,2022-06-15 04:50:00+00:00,2022-06-15 04:50:00+00:00,1,Airbus A330-300,SWISS,EDDF
LX 4039,Expected,DNMM,LOS,Lagos,2022-06-15 06:25:00+02:00,2022-06-15 06:25:00+02:00,2022-06-15 04:25:00+00:00,2022-06-15 04:25:00+00:00,1,Airbus A330-300,SWISS,EDDF
OU 5409,Expected,EDDL,DUS,Duesseldorf,2022-06-15 06:50:00+02:00,2022-06-15 06:50:00+02:00,2022-06-15 04:50:00+00:00,2022-06-15 04:50:00+00:00,1,Airbus A319,Croatia,EDDF
SN 7239,Expected,KBOS,BOS,Boston,2022-06-15 06:20:00+02:00,2022-06-15 06:20:00+02:00,2022-06-15 04:20:00+00:00,2022-06-15 04:20:00+00:00,1,Boeing 747,Brussels,EDDF
SN 7261,Expected,DNMM,LOS,Lagos,2022-06-15 06:25:00+02:00,2022-06-15 06:25:00+02:00,2022-06-15 04:25:00+00:00,2022-06-15 04:25:00+00:00,1,Airbus A330-300,Brussels,EDDF
TP 7651,Expected,EDDS,STR,Stuttgart,2022-06-15 06:55:00+02:00,2022-06-15 06:55:00+02:00,2022-06-15 04:55:00+00:00,2022-06-15 04:55:00+00:00,1,Airbus A319,TAP Air Portugal,EDDF
TP 7775,Expected,EDDL,DUS,Duesseldorf,2022-06-15 06:50:00+02:00,2022-06-15 06:50:00+02:00,2022-06-15 04:50:00+00:00,2022-06-15 04:50:00+00:00,1,Airbus A319,TAP Air Portugal,EDDF
TP 7781,Expected,EDDN,NUE,Nuremberg,2022-06-15 06:55:00+02:00,2022-06-15 06:55:00+02:00,2022-06-15 04:55:00+00:00,2022-06-15 04:55:00+00:00,1,Embraer 190,TAP Air Portugal,EDDF
TP 8382,Expected,VTBS,BKK,Bangkok,2022-06-15 06:15:00+02:00,2022-06-15 06:15:00+02:00,2022-06-15 04:15:00+00:00,2022-06-15 04:15:00+00:00,1,Boeing 777-300ER,TAP Air Portugal,EDDF
UA 8741,Expected,OMDB,DXB,Dubai City,2022-06-15 06:05:00+02:00,2022-06-15 06:05:00+02:00,2022-06-15 04:05:00+00:00,2022-06-15 04:05:00+00:00,1,Airbus A330,United,EDDF
