city,clouds,date_time,rain,temperature
Baden-Baden,clear sky,2022-06-13 18:00:00,0,22.18
Baden-Baden,few clouds,2022-06-13 21:00:00,0,17.06
Baden-Baden,few clouds,2022-06-14 00:00:00,0,12.29
Baden-Baden,clear sky,2022-06-14 03:00:00,0,11.58
Baden-Baden,clear sky,2022-06-14 06:00:00,0,16.48
Baden-Baden,clear sky,2022-06-14 09:00:00,0,22.45
Baden-Baden,clear sky,2022-06-14 12:00:00,0,26.29
Baden-Baden,few clouds,2022-06-14 15:00:00,0,26.86
Baden-Baden,scattered clouds,2022-06-14 18:00:00,0,21.8
Baden-Baden,overcast clouds,2022-06-14 21:00:00,0,17.46
Baden-Baden,overcast clouds,2022-06-15 00:00:00,0,16.13
Baden-Baden,overcast clouds,2022-06-15 03:00:00,0,15.38
Baden-Baden,broken clouds,2022-06-15 06:00:00,0,19.0
Baden-Baden,scattered clouds,2022-06-15 09:00:00,0,23.92
Baden-Baden,broken clouds,2022-06-15 12:00:00,0,27.36
Baden-Baden,broken clouds,2022-06-15 15:00:00,0,28.13
Baden-Baden,scattered clouds,2022-06-15 18:00:00,0,24.99
Baden-Baden,clear sky,2022-06-15 21:00:00,0,20.33
Baden-Baden,clear sky,2022-06-16 00:00:00,0,19.12
Baden-Baden,scattered clouds,2022-06-16 03:00:00,0,17.6
Baden-Baden,scattered clouds,2022-06-16 06:00:00,0,20.44
Baden-Baden,clear sky,2022-06-16 09:00:00,0,23.82
Baden-Baden,light rain,2022-06-16 12:00:00,1,26.35
Baden-Baden,light rain,2022-06-16 15:00:00,1,23.63
Baden-Baden,broken clouds,2022-06-16 18:00:00,0,23.02
Baden-Baden,overcast clouds,2022-06-16 21:00:00,0,20.04
Baden-Baden,overcast clouds,2022-06-17 00:00:00,0,17.33
Baden-Baden,overcast clouds,2022-06-17 03:00:00,0,15.96
Baden-Baden,overcast clouds,2022-06-17 06:00:00,0,19.51
Baden-Baden,overcast clouds,2022-06-17 09:00:00,0,24.23
Baden-Baden,overcast clouds,2022-06-17 12:00:00,0,27.16
Baden-Baden,overcast clouds,2022-06-17 15:00:00,0,27.66
Baden-Baden,overcast clouds,2022-06-17 18:00:00,0,23.67
Baden-Baden,overcast clouds,2022-06-17 21:00:00,0,18.93
Baden-Baden,overcast clouds,2022-06-18 00:00:00,0,17.78
Baden-Baden,few clouds,2022-06-18 03:00:00,0,16.68
Baden-Baden,few clouds,2022-06-18 06:00:00,0,21.37
Baden-Baden,broken clouds,2022-06-18 09:00:00,0,26.89
Baden-Baden,scattered clouds,2022-06-18 12:00:00,0,29.42
Baden-Baden,clear sky,2022-06-18 15:00:00,0,29.52
Berlin,light rain,2022-06-13 18:00:00,1,19.16
Berlin,scattered clouds,2022-06-13 21:00:00,0,15.95
Berlin,scattered clouds,2022-06-14 00:00:00,0,11.51
Berlin,broken clouds,2022-06-14 03:00:00,0,9.75
Berlin,overcast clouds,2022-06-14 06:00:00,0,12.48
Berlin,overcast clouds,2022-06-14 09:00:00,0,16.43
Berlin,overcast clouds,2022-06-14 12:00:00,0,17.87
Berlin,overcast clouds,2022-06-14 15:00:00,0,21.18
Berlin,broken clouds,2022-06-14 18:00:00,0,19.31
Berlin,overcast clouds,2022-06-14 21:00:00,0,16.81
Berlin,overcast clouds,2022-06-15 00:00:00,0,14.31
Berlin,broken clouds,2022-06-15 03:00:00,0,13.15
Berlin,broken clouds,2022-06-15 06:00:00,0,17.06
Berlin,overcast clouds,2022-06-15 09:00:00,0,21.75
Berlin,broken clouds,2022-06-15 12:00:00,0,25.13
Berlin,overcast clouds,2022-06-15 15:00:00,0,25.28
Berlin,overcast clouds,2022-06-15 18:00:00,0,23.53
Berlin,broken clouds,2022-06-15 21:00:00,0,17.98
Berlin,scattered clouds,2022-06-16 00:00:00,0,15.33
Berlin,overcast clouds,2022-06-16 03:00:00,0,14.88
Berlin,overcast clouds,2022-06-16 06:00:00,0,16.49
Berlin,overcast clouds,2022-06-16 09:00:00,0,20.75
Berlin,overcast clouds,2022-06-16 12:00:00,0,24.68
Berlin,overcast clouds,2022-06-16 15:00:00,0,23.22
Berlin,broken clouds,2022-06-16 18:00:00,0,21.79
Berlin,broken clouds,2022-06-16 21:00:00,0,17.11
Berlin,broken clouds,2022-06-17 00:00:00,0,16.14
Berlin,scattered clouds,2022-06-17 03:00:00,0,13.99
Berlin,broken clouds,2022-06-17 06:00:00,0,17.48
Berlin,broken clouds,2022-06-17 09:00:00,0,21.93
Berlin,broken clouds,2022-06-17 12:00:00,0,24.87
Berlin,scattered clouds,2022-06-17 15:00:00,0,25.93
Berlin,scattered clouds,2022-06-17 18:00:00,0,23.94
Berlin,few clouds,2022-06-17 21:00:00,0,19.1
Berlin,few clouds,2022-06-18 00:00:00,0,17.03
Berlin,clear sky,2022-06-18 03:00:00,0,15.89
Berlin,clear sky,2022-06-18 06:00:00,0,20.45
Berlin,scattered clouds,2022-06-18 09:00:00,0,26.08
Berlin,broken clouds,2022-06-18 12:00:00,0,29.43
Berlin,scattered clouds,2022-06-18 15:00:00,0,30.42
Bonn,scattered clouds,2022-06-13 18:00:00,0,19.06
Bonn,scattered clouds,2022-06-13 21:00:00,0,15.02
Bonn,scattered clouds,2022-06-14 00:00:00,0,9.92
Bonn,scattered clouds,2022-06-14 03:00:00,0,8.39
Bonn,broken clouds,2022-06-14 06:00:00,0,12.62
Bonn,clear sky,2022-06-14 09:00:00,0,18.73
Bonn,clear sky,2022-06-14 12:00:00,0,22.92
Bonn,clear sky,2022-06-14 15:00:00,0,23.95
Bonn,few clouds,2022-06-14 18:00:00,0,21.15
Bonn,overcast clouds,2022-06-14 21:00:00,0,15.46
Bonn,broken clouds,2022-06-15 00:00:00,0,13.12
Bonn,clear sky,2022-06-15 03:00:00,0,11.72
Bonn,clear sky,2022-06-15 06:00:00,0,16.47
Bonn,few clouds,2022-06-15 09:00:00,0,23.56
Bonn,few clouds,2022-06-15 12:00:00,0,28.02
Bonn,clear sky,2022-06-15 15:00:00,0,28.26
Bonn,few clouds,2022-06-15 18:00:00,0,24.73
Bonn,few clouds,2022-06-15 21:00:00,0,18.14
Bonn,scattered clouds,2022-06-16 00:00:00,0,16.02
Bonn,overcast clouds,2022-06-16 03:00:00,0,16.69
Bonn,overcast clouds,2022-06-16 06:00:00,0,18.49
Bonn,scattered clouds,2022-06-16 09:00:00,0,23.45
Bonn,scattered clouds,2022-06-16 12:00:00,0,26.08
Bonn,scattered clouds,2022-06-16 15:00:00,0,25.87
Bonn,broken clouds,2022-06-16 18:00:00,0,22.08
Bonn,overcast clouds,2022-06-16 21:00:00,0,17.55
Bonn,overcast clouds,2022-06-17 00:00:00,0,14.97
Bonn,broken clouds,2022-06-17 03:00:00,0,13.43
Bonn,broken clouds,2022-06-17 06:00:00,0,17.98
Bonn,overcast clouds,2022-06-17 09:00:00,0,24.63
Bonn,overcast clouds,2022-06-17 12:00:00,0,27.0
Bonn,overcast clouds,2022-06-17 15:00:00,0,27.97
Bonn,broken clouds,2022-06-17 18:00:00,0,25.92
Bonn,few clouds,2022-06-17 21:00:00,0,19.66
Bonn,clear sky,2022-06-18 00:00:00,0,17.47
Bonn,clear sky,2022-06-18 03:00:00,0,16.33
Bonn,few clouds,2022-06-18 06:00:00,0,20.76
Bonn,clear sky,2022-06-18 09:00:00,0,27.32
Bonn,clear sky,2022-06-18 12:00:00,0,31.45
Bonn,clear sky,2022-06-18 15:00:00,0,32.64
Bremen,scattered clouds,2022-06-13 18:00:00,0,15.94
Bremen,scattered clouds,2022-06-13 21:00:00,0,11.44
Bremen,broken clouds,2022-06-14 00:00:00,0,8.22
